nom_station,annee,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
Station_Rabat,2025,fevrier,18,nan,69,12,48,nan,6,31
Station_Rabat,2025,fevrier,19,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,fevrier,20,29,67,nan,95,nan,nan,30
Station_Rabat,2025,fevrier,21,25,64,nan,67,990,7,51
Station_Rabat,2025,fevrier,22,nan,18,nan,36,1024,nan,26
Station_Rabat,2025,fevrier,23,nan,16,nan,49,991,8,16
Station_Rabat,2025,fevrier,24,nan,nan,nan,85,987,nan,3
Station_Rabat,2025,fevrier,25,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,fevrier,26,24,nan,4,nan,nan,nan,33
Station_Rabat,2025,fevrier,27,19,15,nan,26,nan,nan,43
Station_Rabat,2025,fevrier,28,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,fevrier,29,1,81,2,nan,980,4,41
Station_Rabat,2025,mars,1,15,72,nan,nan,1010,nan,38
Station_Rabat,2025,mars,2,nan,56,nan,nan,1027,5,38
Station_Rabat,2025,mars,3,35,nan,1,16,1013,nan,50
Station_Rabat,2025,mars,4,nan,nan,nan,58,1032,8,18
Station_Rabat,2025,mars,5,nan,20,0,nan,992,nan,21
Station_Rabat,2025,mars,6,nan,nan,nan,90,nan,9,2
Station_Rabat,2025,mars,7,11,nan,19,96,1031,4,38
Station_Rabat,2025,mars,8,nan,70,nan,22,1015,nan,45
Station_Rabat,2025,mars,9,nan,nan,14,nan,981,nan,3
Station_Rabat,2025,mars,10,31,75,10,nan,nan,0,46
Station_Rabat,2025,mars,11,30,34,18,nan,1040,nan,26
Station_Rabat,2025,mars,12,15,nan,20,nan,1002,nan,23
Station_Rabat,2025,mars,13,nan,16,nan,48,nan,8,13
Station_Rabat,2025,mars,14,nan,3,3,nan,983,nan,14
Station_Rabat,2025,mars,15,3,nan,nan,nan,nan,nan,5
Station_Rabat,2025,mars,16,11,49,0,nan,nan,nan,45
Station_Rabat,2025,mars,17,13,nan,nan,12,nan,nan,30
Station_Rabat,2025,mars,18,nan,nan,nan,77,nan,1,15
Station_Rabat,2025,mars,19,nan,nan,5,nan,980,nan,11
Station_Rabat,2025,mars,20,19,80,6,nan,1007,1,64
Station_Rabat,2025,mars,21,nan,54,12,nan,nan,nan,15
Station_Rabat,2025,mars,22,4,nan,20,65,1014,6,28
Station_Rabat,2025,mars,23,nan,nan,13,nan,994,nan,3
Station_Rabat,2025,mars,24,0,93,nan,17,nan,nan,23
Station_Rabat,2025,mars,25,38,79,nan,52,nan,9,23
Station_Rabat,2025,mars,26,27,48,8,78,1033,nan,56
Station_Rabat,2025,mars,27,nan,43,6,nan,1006,nan,31
Station_Rabat,2025,mars,28,31,nan,3,nan,nan,nan,23
Station_Rabat,2025,mars,29,nan,45,11,nan,nan,nan,15
Station_Rabat,2025,mars,30,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,mars,31,1,64,nan,nan,nan,2,35
Station_Rabat,2025,avril,1,nan,57,nan,nan,985,nan,18
Station_Rabat,2025,avril,2,nan,75,15,nan,1032,6,24
Station_Rabat,2025,avril,3,nan,83,2,nan,nan,2,33
Station_Rabat,2025,avril,4,nan,80,14,nan,1015,0,38
Station_Rabat,2025,avril,5,nan,2,2,nan,1003,nan,26
Station_Rabat,2025,avril,6,nan,67,3,62,nan,2,38
Station_Rabat,2025,avril,7,nan,71,nan,59,nan,nan,16
Station_Rabat,2025,avril,8,nan,47,20,14,nan,nan,30
Station_Rabat,2025,avril,9,31,nan,19,27,nan,nan,30
Station_Rabat,2025,avril,10,39,13,nan,nan,1007,nan,16
Station_Rabat,2025,avril,11,14,35,nan,64,nan,nan,23
Station_Rabat,2025,avril,12,nan,nan,13,nan,nan,2,15
Station_Rabat,2025,avril,13,36,nan,nan,34,1038,nan,16
Station_Rabat,2025,avril,14,35,nan,nan,84,nan,8,7
Station_Rabat,2025,avril,15,1,32,nan,nan,1006,nan,21
Station_Rabat,2025,avril,16,40,56,nan,60,nan,3,43
Station_Rabat,2025,avril,17,nan,35,11,nan,1017,1,38
Station_Rabat,2025,avril,18,24,14,nan,nan,999,1,46
Station_Rabat,2025,avril,19,25,23,15,90,986,nan,31
Station_Rabat,2025,avril,20,9,47,nan,nan,nan,nan,20
Station_Rabat,2025,avril,21,nan,nan,nan,nan,1014,9,17
Station_Rabat,2025,avril,22,nan,6,nan,86,1020,nan,18
Station_Rabat,2025,avril,23,nan,97,nan,nan,999,nan,6
Station_Rabat,2025,avril,24,nan,nan,12,52,nan,nan,8
Station_Rabat,2025,avril,25,nan,23,nan,nan,1039,6,14
Station_Rabat,2025,avril,26,nan,nan,4,44,nan,5,31
Station_Rabat,2025,avril,27,17,nan,12,64,nan,11,17
Station_Rabat,2025,avril,28,0,nan,nan,71,994,2,23
Station_Rabat,2025,avril,29,7,nan,4,34,nan,0,36
Station_Rabat,2025,avril,30,38,6,nan,nan,nan,nan,8
Station_Rabat,2025,mai,1,nan,nan,1,88,nan,3,30
Station_Rabat,2025,mai,2,nan,nan,3,nan,nan,nan,8
Station_Rabat,2025,mai,3,nan,nan,nan,68,nan,4,15
Station_Rabat,2025,mai,4,20,nan,nan,nan,985,4,43
Station_Rabat,2025,mai,5,26,nan,nan,nan,993,3,43
Station_Rabat,2025,mai,6,29,6,19,nan,1006,2,41
Station_Rabat,2025,mai,7,nan,nan,nan,33,nan,2,23
Station_Rabat,2025,mai,8,nan,16,nan,nan,nan,6,11
Station_Rabat,2025,mai,9,25,72,nan,72,986,6,44
Station_Rabat,2025,mai,10,nan,14,0,14,1008,3,56
Station_Rabat,2025,mai,11,33,99,nan,nan,1032,0,31
Station_Rabat,2025,mai,12,35,54,nan,41,1034,nan,36
Station_Rabat,2025,mai,13,nan,76,nan,7,1008,nan,31
Station_Rabat,2025,mai,14,4,72,nan,98,nan,5,28
Station_Rabat,2025,mai,15,nan,3,13,nan,1032,nan,11
Station_Rabat,2025,mai,16,nan,73,nan,41,nan,2,31
Station_Rabat,2025,mai,17,2,13,nan,3,1022,nan,38
Station_Rabat,2025,mai,18,nan,60,nan,nan,999,1,33
Station_Rabat,2025,mai,19,23,nan,19,44,nan,3,48
Station_Rabat,2025,mai,20,nan,80,14,nan,nan,10,10
Station_Rabat,2025,mai,21,3,91,17,61,1013,3,38
Station_Rabat,2025,mai,22,15,25,17,nan,nan,nan,18
Station_Rabat,2025,mai,23,31,nan,15,68,nan,3,30
Station_Rabat,2025,mai,24,nan,nan,nan,86,nan,nan,0
Station_Rabat,2025,mai,25,nan,44,nan,59,1001,nan,31
Station_Rabat,2025,mai,26,30,79,2,nan,991,8,43
Station_Rabat,2025,mai,27,nan,64,10,nan,nan,11,25
Station_Rabat,2025,mai,28,22,96,nan,43,989,3,54
Station_Rabat,2025,mai,29,nan,nan,6,nan,nan,nan,8
Station_Rabat,2025,mai,30,36,73,nan,74,nan,9,15
Station_Rabat,2025,mai,31,27,nan,nan,nan,nan,nan,25
Station_Rabat,2025,juin,1,nan,nan,7,nan,nan,3,23
Station_Rabat,2025,juin,2,nan,9,nan,nan,1003,4,26
Station_Rabat,2025,juin,3,nan,nan,14,nan,1016,0,30
Station_Rabat,2025,juin,4,19,nan,nan,nan,nan,nan,25
Station_Rabat,2025,juin,5,nan,50,17,nan,nan,nan,15
Station_Rabat,2025,juin,6,nan,59,nan,19,nan,nan,30
Station_Rabat,2025,juin,7,5,nan,15,nan,994,nan,8
Station_Rabat,2025,juin,8,21,nan,8,nan,nan,nan,33
Station_Rabat,2025,juin,9,nan,nan,19,7,nan,nan,15
Station_Rabat,2025,juin,10,nan,16,6,nan,1003,nan,19
Station_Rabat,2025,juin,11,14,nan,2,1,1027,9,55
Station_Rabat,2025,juin,12,nan,nan,nan,nan,1002,0,23
Station_Rabat,2025,juin,13,nan,nan,1,nan,1002,nan,23
Station_Rabat,2025,juin,14,39,nan,nan,nan,1015,nan,20
Station_Rabat,2025,juin,15,nan,19,2,38,988,nan,29
Station_Rabat,2025,juin,16,23,nan,nan,nan,nan,0,40
Station_Rabat,2025,juin,17,3,nan,nan,nan,987,nan,8
Station_Rabat,2025,juin,18,nan,6,5,17,nan,7,34
Station_Rabat,2025,juin,19,12,nan,12,nan,nan,nan,15
Station_Rabat,2025,juin,20,nan,nan,13,10,nan,2,30
Station_Rabat,2025,juin,21,22,95,9,76,985,nan,39
Station_Rabat,2025,juin,22,nan,90,14,65,nan,0,18
Station_Rabat,2025,juin,23,nan,nan,6,42,nan,nan,16
Station_Rabat,2025,juin,24,nan,nan,nan,51,1005,10,18
Station_Rabat,2025,juin,25,nan,20,8,83,1023,nan,26
Station_Rabat,2025,juin,26,nan,43,6,nan,nan,7,31
Station_Rabat,2025,juin,27,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,juin,28,nan,nan,14,2,994,0,33
Station_Rabat,2025,juin,29,32,68,nan,nan,1038,nan,33
Station_Rabat,2025,juin,30,17,55,nan,nan,nan,nan,30
Station_Rabat,2025,juillet,1,nan,nan,nan,nan,nan,11,2
Station_Rabat,2025,juillet,2,27,21,nan,7,nan,0,58
Station_Rabat,2025,juillet,3,25,37,nan,81,1013,0,63
Station_Rabat,2025,juillet,4,20,37,14,0,nan,7,56
Station_Rabat,2025,juillet,5,4,31,4,nan,nan,6,29
Station_Rabat,2025,juillet,6,nan,nan,12,93,997,nan,3
Station_Rabat,2025,juillet,7,19,nan,1,nan,nan,nan,40
Station_Rabat,2025,juillet,8,nan,nan,5,nan,nan,10,10
Station_Rabat,2025,juillet,9,11,26,nan,nan,nan,nan,18
Station_Rabat,2025,juillet,10,nan,83,16,90,nan,2,18
Station_Rabat,2025,juillet,11,7,4,7,32,nan,5,39
Station_Rabat,2025,juillet,12,nan,nan,nan,nan,1032,nan,8
Station_Rabat,2025,juillet,13,29,55,nan,nan,1024,nan,45
Station_Rabat,2025,juillet,14,4,5,7,65,996,0,34
Station_Rabat,2025,juillet,15,nan,2,10,nan,1008,nan,19
Station_Rabat,2025,juillet,16,nan,57,nan,nan,nan,nan,15
Station_Rabat,2025,juillet,17,nan,nan,nan,nan,nan,5,15
Station_Rabat,2025,juillet,18,30,58,nan,13,1032,8,55
Station_Rabat,2025,juillet,19,nan,nan,nan,nan,995,nan,3
Station_Rabat,2025,juillet,20,13,nan,nan,nan,997,6,26
Station_Rabat,2025,juillet,21,nan,nan,nan,nan,1018,5,30
Station_Rabat,2025,juillet,22,nan,nan,nan,nan,1006,nan,8
Station_Rabat,2025,juillet,23,15,33,nan,nan,nan,nan,23
Station_Rabat,2025,juillet,24,nan,nan,nan,nan,1035,9,10
Station_Rabat,2025,juillet,25,nan,56,nan,12,1009,nan,38
Station_Rabat,2025,juillet,26,nan,nan,5,nan,1017,2,38
Station_Rabat,2025,juillet,27,nan,32,0,nan,nan,nan,23
Station_Rabat,2025,juillet,28,nan,98,nan,nan,1036,1,21
Station_Rabat,2025,juillet,29,nan,nan,17,nan,980,nan,3
Station_Rabat,2025,juillet,30,nan,14,9,nan,nan,nan,11
Station_Rabat,2025,juillet,31,32,8,17,52,nan,nan,26
Station_Rabat,2025,aout,1,37,nan,nan,nan,1035,nan,13
Station_Rabat,2025,aout,2,nan,53,6,nan,nan,2,38
Station_Rabat,2025,aout,3,23,nan,7,nan,nan,nan,33
Station_Rabat,2025,aout,4,nan,83,nan,nan,1029,7,19
Station_Rabat,2025,aout,5,27,nan,15,35,1034,nan,41
Station_Rabat,2025,aout,6,17,2,nan,31,nan,6,34
Station_Rabat,2025,aout,7,nan,nan,nan,64,nan,nan,0
Station_Rabat,2025,aout,8,nan,nan,nan,nan,1012,nan,15
Station_Rabat,2025,aout,9,11,65,17,nan,996,0,48
Station_Rabat,2025,aout,10,nan,nan,8,nan,nan,nan,8
Station_Rabat,2025,aout,11,nan,12,5,42,nan,nan,19
Station_Rabat,2025,aout,12,nan,49,11,83,nan,nan,15
Station_Rabat,2025,aout,13,nan,nan,12,54,985,9,13
Station_Rabat,2025,aout,14,8,nan,9,16,nan,3,43
Station_Rabat,2025,aout,15,nan,33,nan,78,nan,8,10
Station_Rabat,2025,aout,16,12,34,nan,nan,nan,nan,23
Station_Rabat,2025,aout,17,2,0,14,70,1012,6,31
Station_Rabat,2025,aout,18,9,nan,nan,nan,1032,nan,13
Station_Rabat,2025,aout,19,3,95,nan,nan,nan,nan,8
Station_Rabat,2025,aout,20,19,4,nan,nan,1031,nan,36
Station_Rabat,2025,aout,21,9,17,nan,nan,nan,0,23
Station_Rabat,2025,aout,22,nan,17,nan,nan,nan,8,5
Station_Rabat,2025,aout,23,nan,nan,nan,nan,1029,1,23
Station_Rabat,2025,aout,24,nan,82,nan,nan,980,0,21
Station_Rabat,2025,aout,25,16,nan,nan,8,1037,nan,33
Station_Rabat,2025,aout,26,nan,61,nan,nan,nan,nan,15
Station_Rabat,2025,aout,27,5,nan,nan,77,nan,nan,5
Station_Rabat,2025,aout,28,nan,nan,nan,23,1003,11,25
Station_Rabat,2025,aout,29,3,79,15,nan,1028,11,23
Station_Rabat,2025,aout,30,nan,nan,9,23,nan,4,38
Station_Rabat,2025,aout,31,23,54,nan,nan,nan,5,55
Station_Rabat,2025,septembre,1,nan,98,nan,nan,988,nan,6
Station_Rabat,2025,septembre,2,nan,nan,9,39,nan,nan,16
Station_Rabat,2025,septembre,3,nan,98,14,40,nan,2,26
Station_Rabat,2025,septembre,4,0,nan,nan,28,nan,0,35
Station_Rabat,2025,septembre,5,8,29,12,nan,1002,1,31
Station_Rabat,2025,septembre,6,15,nan,nan,nan,nan,3,30
Station_Rabat,2025,septembre,7,nan,nan,1,16,nan,nan,30
Station_Rabat,2025,septembre,8,nan,nan,20,34,1024,5,38
Station_Rabat,2025,septembre,9,2,2,nan,26,1035,nan,31
Station_Rabat,2025,septembre,10,8,37,2,31,1025,11,53
Station_Rabat,2025,septembre,11,nan,72,6,nan,1016,nan,31
Station_Rabat,2025,septembre,12,nan,90,17,43,nan,7,19
Station_Rabat,2025,septembre,13,nan,56,15,nan,nan,6,23
Station_Rabat,2025,septembre,14,nan,27,nan,24,nan,nan,18
Station_Rabat,2025,septembre,15,25,56,nan,59,nan,nan,48
Station_Rabat,2025,septembre,16,1,nan,nan,nan,1037,nan,8
Station_Rabat,2025,septembre,17,nan,11,nan,70,nan,nan,3
Station_Rabat,2025,septembre,18,25,nan,0,7,nan,nan,55
Station_Rabat,2025,septembre,19,nan,nan,nan,88,1014,0,30
Station_Rabat,2025,septembre,20,nan,nan,nan,43,nan,1,23
Station_Rabat,2025,septembre,21,0,nan,nan,61,990,7,16
Station_Rabat,2025,septembre,22,6,nan,8,20,nan,11,30
Station_Rabat,2025,septembre,23,2,12,14,97,1015,nan,23
Station_Rabat,2025,septembre,24,nan,46,nan,7,nan,nan,30
Station_Rabat,2025,septembre,25,10,38,13,41,991,nan,34
Station_Rabat,2025,septembre,26,12,43,nan,35,1008,6,54
Station_Rabat,2025,septembre,27,24,nan,nan,100,988,nan,28
Station_Rabat,2025,septembre,28,10,70,nan,57,1012,nan,53
Station_Rabat,2025,septembre,29,6,nan,0,59,1030,nan,36
Station_Rabat,2025,septembre,30,nan,52,nan,10,1021,9,47
Station_Rabat,2025,octobre,1,nan,nan,nan,nan,996,11,5
Station_Rabat,2025,octobre,2,nan,51,nan,64,1016,nan,30
Station_Rabat,2025,octobre,3,nan,88,11,nan,1035,9,13
Station_Rabat,2025,octobre,4,nan,nan,19,40,nan,nan,8
Station_Rabat,2025,octobre,5,nan,nan,17,69,1001,nan,8
Station_Rabat,2025,octobre,6,29,72,nan,nan,1024,9,40
Station_Rabat,2025,octobre,7,11,57,18,86,nan,nan,30
Station_Rabat,2025,octobre,8,nan,40,nan,59,1020,11,40
Station_Rabat,2025,octobre,9,nan,nan,5,59,1008,1,39
Station_Rabat,2025,octobre,10,nan,70,8,89,1023,11,40
Station_Rabat,2025,octobre,11,nan,58,nan,46,nan,5,38
Station_Rabat,2025,octobre,12,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,octobre,13,23,52,nan,74,994,3,58
Station_Rabat,2025,octobre,14,19,nan,14,nan,1032,6,41
Station_Rabat,2025,octobre,15,nan,14,15,nan,nan,6,11
Station_Rabat,2025,octobre,16,nan,nan,nan,nan,1028,9,10
Station_Rabat,2025,octobre,17,nan,nan,18,96,nan,nan,0
Station_Rabat,2025,octobre,18,27,14,nan,57,nan,nan,36
Station_Rabat,2025,octobre,19,nan,55,6,nan,nan,3,38
Station_Rabat,2025,octobre,20,39,nan,14,67,1020,nan,20
Station_Rabat,2025,octobre,21,7,11,3,20,nan,nan,31
Station_Rabat,2025,octobre,22,37,nan,nan,89,nan,nan,5
Station_Rabat,2025,octobre,23,13,nan,4,62,nan,nan,23
Station_Rabat,2025,octobre,24,nan,nan,11,nan,991,1,18
Station_Rabat,2025,octobre,25,14,78,nan,51,1037,nan,34
Station_Rabat,2025,octobre,26,37,90,1,92,1028,6,39
Station_Rabat,2025,octobre,27,nan,nan,14,nan,1032,nan,8
Station_Rabat,2025,octobre,28,3,27,11,nan,nan,nan,8
Station_Rabat,2025,octobre,29,nan,nan,nan,4,nan,nan,15
Station_Rabat,2025,octobre,30,1,nan,nan,39,1008,nan,21
Station_Rabat,2025,octobre,31,33,94,15,36,981,nan,19
Station_Rabat,2025,novembre,1,nan,nan,nan,3,nan,1,30
Station_Rabat,2025,novembre,2,nan,46,nan,nan,nan,7,23
Station_Rabat,2025,novembre,3,6,80,nan,79,1017,11,30
Station_Rabat,2025,novembre,4,14,79,nan,69,nan,nan,23
Station_Rabat,2025,novembre,5,20,77,6,nan,nan,nan,41
Station_Rabat,2025,novembre,6,nan,nan,nan,nan,994,nan,3
Station_Rabat,2025,novembre,7,nan,nan,10,nan,1010,nan,23
Station_Rabat,2025,novembre,8,33,19,nan,26,nan,1,38
Station_Rabat,2025,novembre,9,nan,nan,nan,74,nan,nan,0
Station_Rabat,2025,novembre,10,nan,88,18,nan,nan,11,5
Station_Rabat,2025,novembre,11,19,nan,8,46,1031,nan,49
Station_Rabat,2025,novembre,12,29,75,nan,nan,1008,nan,31
Station_Rabat,2025,novembre,13,nan,nan,15,nan,1038,4,18
Station_Rabat,2025,novembre,14,nan,89,nan,35,nan,8,13
Station_Rabat,2025,novembre,15,nan,nan,nan,nan,1027,0,23
Station_Rabat,2025,novembre,16,13,nan,nan,70,1022,10,32
Station_Rabat,2025,novembre,17,nan,27,nan,nan,991,nan,6
Station_Rabat,2025,novembre,18,nan,20,nan,nan,1018,nan,18
Station_Rabat,2025,novembre,19,nan,nan,4,nan,nan,5,23
Station_Rabat,2025,novembre,20,nan,nan,nan,78,nan,8,2
Station_Rabat,2025,novembre,21,15,35,nan,40,1038,8,36
Station_Rabat,2025,novembre,22,19,100,6,nan,997,nan,39
Station_Rabat,2025,novembre,23,nan,36,13,nan,nan,nan,8
Station_Rabat,2025,novembre,24,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,novembre,25,nan,nan,20,nan,1032,8,10
Station_Rabat,2025,novembre,26,17,nan,8,19,1018,nan,53
Station_Rabat,2025,novembre,27,15,nan,7,20,nan,nan,38
Station_Rabat,2025,novembre,28,36,43,nan,nan,1002,nan,28
Station_Rabat,2025,novembre,29,15,56,nan,69,1037,4,48
Station_Rabat,2025,novembre,30,15,nan,9,9,nan,5,53
Station_Rabat,2025,decembre,1,nan,38,nan,nan,nan,nan,8
Station_Rabat,2025,decembre,2,11,nan,16,66,988,6,26
Station_Rabat,2025,decembre,3,nan,nan,16,nan,1032,2,23
Station_Rabat,2025,decembre,4,nan,nan,2,3,nan,3,45
Station_Rabat,2025,decembre,5,7,nan,nan,nan,nan,9,7
Station_Rabat,2025,decembre,6,26,nan,4,nan,nan,nan,33
Station_Rabat,2025,decembre,7,nan,nan,nan,24,998,11,20
Station_Rabat,2025,decembre,8,nan,nan,8,nan,984,nan,11
Station_Rabat,2025,decembre,9,15,69,5,90,1021,nan,53
Station_Rabat,2025,decembre,10,28,nan,nan,82,nan,nan,25
Station_Rabat,2025,decembre,11,18,56,nan,34,1028,4,71
Station_Rabat,2025,decembre,12,nan,79,nan,34,1016,1,46
Station_Rabat,2025,decembre,13,7,nan,nan,nan,1011,nan,20
Station_Rabat,2025,decembre,14,nan,nan,nan,nan,1025,nan,15
Station_Rabat,2025,decembre,15,nan,nan,nan,63,nan,nan,0
Station_Rabat,2025,decembre,16,15,nan,nan,nan,nan,nan,15
Station_Rabat,2025,decembre,17,29,nan,nan,nan,993,2,33
Station_Rabat,2025,decembre,18,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,decembre,19,37,nan,9,nan,nan,nan,13
Station_Rabat,2025,decembre,20,nan,nan,14,nan,nan,6,8
Station_Rabat,2025,decembre,21,nan,nan,nan,nan,nan,8,2
Station_Rabat,2025,decembre,22,26,4,nan,85,1032,11,38
Station_Rabat,2025,decembre,23,nan,nan,nan,nan,991,nan,3
Station_Rabat,2025,decembre,24,22,85,nan,21,nan,0,58
Station_Rabat,2025,decembre,25,0,14,17,nan,nan,10,10
Station_Rabat,2025,decembre,26,8,93,nan,nan,nan,1,23
Station_Rabat,2025,decembre,27,4,nan,nan,64,1033,3,28
Station_Rabat,2025,decembre,28,nan,nan,nan,26,nan,nan,15
Station_Rabat,2025,decembre,29,nan,42,nan,nan,999,9,20
Station_Rabat,2025,decembre,30,nan,77,9,75,nan,nan,16
Station_Rabat,2025,decembre,31,nan,1,nan,79,996,nan,6
